transaction_id,device_type,device_info,id_30,id_31,id_33
2987004,mobile,SAMSUNG SM-G892A Build/NRD90M,Android 7.0,samsung browser 6.2,2220x1080
2987008,mobile,iOS Device,iOS 11.1.2,mobile safari 11.0,1334x750
2987010,desktop,Windows,,chrome 62.0,
2987011,desktop,,,chrome 62.0,
2987016,desktop,MacOS,Mac OS X 10_11_6,chrome 62.0,1280x800
2987017,desktop,Windows,Windows 10,chrome 62.0,1366x768
2987022,,,,,
2987038,mobile,,Android,chrome 62.0,1920x1080
2987040,desktop,Windows,,chrome 62.0,
2987048,desktop,Windows,,chrome 62.0,
2987049,desktop,Windows,,chrome 62.0,
2987057,mobile,SM-G930V Build/NRD90M,Android 7.0,chrome 62.0 for android,1920x1080
2987066,desktop,Windows,Windows 10,chrome 62.0,1680x1050
2987069,desktop,,Linux,chrome 62.0,1920x1080
2987070,mobile,iOS Device,iOS 11.1.2,mobile safari 11.0,1136x640
2987072,mobile,BLADE A602 Build/MRA58K,,chrome 62.0 for android,
2987074,desktop,Windows,,chrome 62.0,
2987084,desktop,Windows,,chrome 62.0,
2987093,desktop,Windows,Windows 10,edge 15.0,
2987099,mobile,iOS Device,iOS 11.0.3,mobile safari generic,1334x750
2987100,mobile,SM-G930V Build/NRD90M,Android 7.0,chrome 62.0 for android,1920x1080
2987101,desktop,MacOS,Mac OS X 10_7_5,chrome 49.0,1280x800
2987104,mobile,SM-G930V Build/NRD90M,Android 7.0,chrome 62.0 for android,1920x1080
2987105,mobile,XT1635-02 Build/NPN26.118-22-2,,chrome 62.0 for android,
2987108,,,,,
2987111,desktop,Windows,,chrome 62.0,
2987114,desktop,Windows,,chrome 62.0,
2987119,desktop,MacOS,Mac OS X 10_12_6,chrome 61.0,5120x2880
2987121,desktop,MacOS,Mac OS X 10_12_6,chrome 62.0,2880x1800
2987125,desktop,MacOS,Mac OS X 10_12_6,chrome 62.0,2880x1800
2987130,desktop,Windows,,chrome 62.0,
2987138,desktop,Windows,Windows 10,edge 16.0,1920x1200
2987141,desktop,MacOS,Mac OS X 10_13_1,safari generic,2560x1600
2987144,desktop,MacOS,Mac OS X 10_13_1,safari generic,2560x1600
2987145,mobile,iOS Device,iOS 11.1.0,mobile safari 11.0,2048x1536
2987148,mobile,iOS Device,iOS 11.1.2,mobile safari 11.0,1334x750
2987156,desktop,Windows,Windows 10,chrome 62.0,1024x768
2987167,desktop,Windows,Windows 10,edge 14.0,1366x768
2987173,mobile,iOS Device,iOS 11.1.2,mobile safari 11.0,1136x640
2987183,mobile,Z970,Android,chrome 56.0 for android,1280x720
2987188,mobile,,Android,chrome 62.0,2560x1440
2987189,desktop,Windows,,firefox 57.0,
2987190,mobile,,,mobile safari 11.0,
2987192,desktop,Windows,,firefox 57.0,
2987196,desktop,Windows,,chrome 62.0,
2987197,mobile,iOS Device,iOS 11.1.2,mobile safari 11.0,2208x1242
2987198,mobile,iOS Device,iOS 11.0.3,mobile safari 11.0,2048x1536
2987199,mobile,,,mobile safari 11.0,
2987207,mobile,iOS Device,iOS 11.1.2,mobile safari 11.0,2001x1125
2987209,desktop,Windows,,chrome 62.0,
2987211,mobile,SM-N920V Build/NRD90M,Android 7.0,chrome 62.0 for android,
2987236,mobile,iOS Device,iOS 11.1.2,mobile safari 11.0,2208x1242
2987240,mobile,Redmi Note 4 Build/MMB29M,,chrome 54.0 for android,
2987243,mobile,Redmi Note 4 Build/MMB29M,,chrome 54.0 for android,
2987245,mobile,Redmi Note 4 Build/MMB29M,,chrome 54.0 for android,
2987248,mobile,iOS Device,iOS 11.1.2,mobile safari uiwebview,2048x1536
2987252,desktop,Windows,,chrome 62.0,
2987258,desktop,Windows,,chrome 62.0,
2987259,mobile,,,mobile safari 11.0,
2987262,desktop,Windows,,chrome 62.0,
2987265,mobile,iOS Device,iOS 11.1.2,mobile safari 11.0,2048x1536
2987266,desktop,Windows,,chrome 62.0,
2987270,mobile,iOS Device,iOS 11.1.2,mobile safari 11.0,2048x1536
2987271,desktop,Windows,Windows 10,chrome 62.0,1920x1080
2987273,mobile,iOS Device,iOS 11.1.0,mobile safari 11.0,2048x1536
2987275,desktop,MacOS,Mac OS X 10_9_5,chrome,1440x900
2987281,desktop,Windows,Windows 10,chrome 62.0,1366x768
2987284,desktop,Windows,,chrome 62.0,
2987287,desktop,,,safari generic,
2987288,mobile,,,chrome 62.0 for ios,
2987301,mobile,Lenovo PB1-750M Build/S100,,chrome 62.0 for android,
2987311,desktop,MacOS,Mac OS X 10_13_1,safari generic,1600x900
2987316,desktop,Windows,,firefox 57.0,
2987319,,,,,
2987327,desktop,Windows,Windows 7,chrome 62.0,1366x768
2987328,desktop,Windows,,chrome 62.0,
2987332,mobile,iOS Device,iOS 11.1.2,mobile safari generic,2208x1242
2987333,desktop,Windows,Windows 8.1,chrome 62.0,1366x768
2987335,mobile,iOS Device,iOS 11.1.2,mobile safari generic,2208x1242
2987336,mobile,iOS Device,iOS 11.1.2,mobile safari generic,2208x1242
2987337,mobile,iOS Device,iOS 11.1.2,mobile safari 11.0,2208x1242
2987338,mobile,iOS Device,iOS 11.1.2,mobile safari generic,2208x1242
